municipio_distrito,fecha_informe,casos_confirmados_totales,tasa_incidencia_acumulada_total,codigo_geometria,casos_semanales,tasa_incidencia_semanal,week
Madrid-Usera,11/01/2022,26497,18519.92,79612,3074,2148.55,96
Madrid-Villaverde,11/01/2022,28896,18718.54,79617,3267,2116.33,96
Madrid-Moncloa-Aravaca,11/01/2022,24497,20134.96,79609,2294,1885.52,96
Madrid-Chamberí,21/12/2021,22848,16223.36,79607,2544,1806.38,93
Madrid-Puente de Vallecas,11/01/2022,52313,21715.11,79613,4283,1777.87,96
Madrid-Centro,11/01/2022,28204,20070.59,79601,2489,1771.23,96
Madrid-Salamanca,21/12/2021,22765,15398.3,79604,2592,1753.23,93
Madrid-Centro,21/12/2021,22466,15987.3,79601,2423,1724.27,93
Madrid-Puente de Vallecas,04/01/2022,48197,20006.56,79613,4116,1708.55,95
Madrid-Carabanchel,11/01/2022,46193,17751.52,79611,4425,1700.48,96
Madrid-Arganzuela,11/01/2022,27852,17894.22,79602,2635,1692.93,96
Madrid-Puente de Vallecas,28/12/2021,44235,18361.93,79613,3962,1644.63,94
Madrid-Moncloa-Aravaca,21/12/2021,19360,15912.68,79609,1972,1620.85,93
Madrid-Moratalaz,11/01/2022,17497,18308.62,79614,1512,1582.14,96
Madrid-Latina,11/01/2022,41773,17250.66,79610,3781,1561.41,96
Madrid-Arganzuela,21/12/2021,21982,14122.89,79602,2367,1520.74,93
Madrid-Barajas,21/12/2021,6641,13286.52,79621,741,1482.5,93
Madrid-Chamartín,21/12/2021,21832,14796.44,79605,2164,1466.63,93
Madrid-Villaverde,04/01/2022,26662,17271.38,79617,2234,1447.16,95
Madrid-Vicálvaro,11/01/2022,12901,17432.84,79619,1048,1416.14,96
Madrid-Vicálvaro,04/01/2022,11862,16028.86,79619,1039,1403.98,95
Madrid-Chamberí,11/01/2022,28657,20348.07,79607,1977,1403.78,96
Madrid-Ciudad Lineal,21/12/2021,31970,14539.02,79615,3079,1400.24,93
Madrid-Vicálvaro,28/12/2021,10829,14632.99,79619,1033,1395.87,94
Madrid-Salamanca,11/01/2022,28485,19267.32,79604,2049,1385.95,96
Madrid-Barajas,11/01/2022,8548,17101.81,79621,684,1368.47,96
Madrid-Retiro,21/12/2021,16679,13857.59,79603,1642,1364.24,93
Madrid-Ciudad Lineal,11/01/2022,40301,18327.72,79615,2993,1361.13,96
Madrid-Chamartín,11/01/2022,27064,18342.38,79605,2002,1356.84,96
Madrid-Moncloa-Aravaca,04/01/2022,22861,18790.27,79609,1636,1344.69,95
Madrid-San Blas - Canillejas,21/12/2021,22055,13684.65,79620,2163,1342.09,93
Madrid-Villa de Vallecas,11/01/2022,20147,17602.86,79618,1532,1338.54,96
Madrid-Moratalaz,28/12/2021,14997,15692.66,79614,1271,1329.95,94
Madrid-Villa de Vallecas,28/12/2021,17195,15023.63,79618,1522,1329.81,94
Madrid-Villa de Vallecas,21/12/2021,15674,13694.7,79618,1521,1328.93,93
Madrid-Villaverde,28/12/2021,24625,15951.83,79617,2037,1319.55,94
Madrid-Puente de Vallecas,21/12/2021,41106,17063.09,79613,3129,1298.84,93
Madrid-Vicálvaro,21/12/2021,9868,13334.41,79619,961,1298.58,93
Madrid-San Blas - Canillejas,11/01/2022,27993,17369.05,79620,2085,1293.7,96
Madrid-Hortaleza,21/12/2021,25558,13227.07,79616,2490,1288.65,93
Madrid-Moratalaz,04/01/2022,16268,17022.61,79614,1229,1286.01,95
Madrid-Tetuán,21/12/2021,23030,14269.87,79606,2061,1277.04,93
Madrid-Moncloa-Aravaca,28/12/2021,21332,17533.53,79609,1529,1256.74,94
Madrid-Moratalaz,21/12/2021,13796,14435.95,79614,1201,1256.71,93
Madrid-Latina,04/01/2022,38732,15994.85,79610,3041,1255.81,95
Madrid-Latina,28/12/2021,35693,14739.85,79610,3039,1255,94
Madrid-Retiro,11/01/2022,21206,17618.81,79603,1507,1252.08,96
Madrid-Villa de Vallecas,04/01/2022,18717,16353.44,79618,1430,1249.42,95
Madrid-Carabanchel,04/01/2022,42951,16505.65,79611,3242,1245.87,95
Madrid-Hortaleza,11/01/2022,32157,16642.26,79616,2396,1240,96
Madrid-Centro,04/01/2022,26472,18838.06,79601,1732,1232.53,95
Madrid-Moncloa-Aravaca,18/01/2022,26791,22020.48,79609,1498,1231.26,97
Madrid-Retiro,28/12/2021,18321,15221.83,79603,1475,1225.49,94
Madrid-Fuencarral-El Pardo,21/12/2021,32901,13165.19,79608,3035,1214.44,93
Madrid-Arganzuela,04/01/2022,25966,16682.51,79602,1886,1211.71,95
Madrid-Latina,21/12/2021,32765,13530.7,79610,2928,1209.15,93
Madrid-Ciudad Lineal,04/01/2022,37650,17122.12,79615,2651,1205.6,95
Madrid-Barajas,28/12/2021,7382,14769.02,79621,600,1200.41,94
Madrid-Fuencarral-El Pardo,11/01/2022,40634,16259.52,79608,2984,1194.03,96
Madrid-San Blas - Canillejas,04/01/2022,26074,16178.35,79620,1919,1190.7,95
Madrid-Ciudad Lineal,28/12/2021,35049,15939.26,79615,2601,1182.86,94
Madrid-Arganzuela,18/01/2022,30487,19587.15,79602,1833,1177.65,97
Madrid-Retiro,04/01/2022,19796,16447.32,79603,1410,1171.49,95
Madrid-Chamberí,04/01/2022,27019,19185,79607,1638,1163.07,95
Madrid-Tetuán,11/01/2022,28262,17511.73,79606,1875,1161.79,96
Madrid-Chamberí,28/12/2021,25392,18029.74,79607,1627,1155.26,94
Madrid-San Blas - Canillejas,28/12/2021,24218,15026.74,79620,1856,1151.61,94
Madrid-Usera,04/01/2022,24864,17378.54,79612,1633,1141.38,95
Madrid-Usera,28/12/2021,23237,16241.36,79612,1627,1137.18,94
Madrid-Barajas,04/01/2022,7982,15969.43,79621,566,1132.38,95
Madrid-Centro,28/12/2021,24889,17711.57,79601,1583,1126.49,94
Madrid-Carabanchel,28/12/2021,40061,15395.05,79611,2890,1110.6,94
Madrid-Chamberí,14/12/2021,21302,15125.61,79607,1546,1097.75,92
Madrid-Salamanca,28/12/2021,25357,17151.53,79604,1619,1095.1,94
Madrid-Centro,18/01/2022,30693,21841.82,79601,1534,1091.63,97
Madrid-Hortaleza,28/12/2021,28048,14515.72,79616,2080,1076.47,94
Madrid-Villaverde,21/12/2021,22971,14880.39,79617,1654,1071.44,93
Madrid-Chamartín,04/01/2022,25494,17278.33,79605,1570,1064.05,95
